deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Hacktivist Attack,Red Team,Hacktivist,1,Proxy Chain,Tool,Network,Black,Recon,1,1,1,Your next Network Attack costs 1 less. IDS reduces its damage by 1 less.,The trail crossed too many exits.,Proxies complicate investigation and response.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Open Port Probe,Attack,Network,Black,Recon,1,1,1,Look at the top 3 Blue Team cards. If one is Port 443 or Modbus reveal it and draw 1 card.,The scan found the first chapter.,Scanning identifies exposed services and possible entry points.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Website Flood Threat,Attack,Internet,Blue,Actions on Objectives,3,3,1,Deal 3 damage to Email Server or SCADA Web Interface. Enterprise Firewall reduces this by 2.,The crowd became the outage.,Availability pressure can disrupt public-facing services.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,ICS Wiki Copycat,Attack,Infrastructure,Green,Exploit,2,2,1,Deal 2 damage to RTU/PLC or Pump Station. OT Engineer reduces this by 1.,The playbook was copied not understood.,Public technical details can be misused against poorly protected systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Alarm Fatigue,Attack,Infrastructure,Green,Exploit,2,2,1,Disable IDS or Water Quality Monitor until Blue Team next turn.,Too many alarms made the real one quiet.,Alert fatigue can cause teams to miss important signals.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Remote Access Spray,Attack,Endpoint,Red,Exploit,2,2,1,Deal 2 damage to Operator Laptop. MFA or Password Reset reduces this by 2.,One reused password was enough to start.,Remote access should be protected by MFA monitoring and strong credentials.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Email Bomb,Attack,Internet,Blue,Delivery,2,2,1,Disable Email Server until Blue Team next turn unless Blue Team discards 1 card.,The inbox drowned the incident.,Email disruption can slow coordination during response.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Leaked Vendor Credential,Attack,Application,White/Grey,Exploit,2,3,1,Deal 3 damage to SCADA Web Interface or Billing Database. MFA reduces this by 2.,The vendor account opened a side door.,Third-party credentials can create serious access-control risk.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Firmware Rumor,Event,Infrastructure,Green,Recon,1,0,0,Choose one Infrastructure Asset. Blue Team reveals whether Backup or OT Engineer is in hand.,The rumor was enough to force a check.,Unverified claims still consume response time and resources.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Public Meeting Disruption,Event,Infrastructure,Green,Actions on Objectives,2,2,0,If Water Tower or Treatment Plant is damaged Blue Team loses 1 additional SCP.,The board room became part of the battlefield.,Operational incidents often create public communication challenges.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Command Channel,Asset,Network,Black,Command and Control,3,2,2,Once per turn reduce the cost of an Attack by 1 if Blue Team has damaged an Asset this game.,Coordination turned noise into pressure.,Attacker coordination can increase campaign speed and consistency.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Broadcast Account,Asset,Internet,Blue,Command and Control,2,1,2,When you play a Recon card draw 1 card then discard 1 card.,The post made the campaign visible.,Public channels can coordinate pressure and recruit attention.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Volunteer Botnet,Asset,Internet,Blue,Command and Control,3,2,2,Website Flood Threat deals plus 1 damage.,The crowd automated itself.,Botnets and volunteer tooling can increase availability pressure.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Forum Organizer,Operator,Internet,Blue,Recon,2,1,2,Recon cards cost 1 less once per turn.,The forum turned anger into a plan.,Leadership and coordination are force multipliers for hacktivist activity.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Credential Broker,Operator,Application,White/Grey,Exploit,2,1,2,Credential Stuffing and Leaked Vendor Credential deal plus 1 damage once per game.,The list had a price and a purpose.,Credential markets increase risk from password reuse.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Media Amplifier,Operator,Internet,Blue,Actions on Objectives,2,1,2,If Blue Team loses SCP this turn draw 1 card.,The story became part of the attack.,Public impact can be part of the adversary objective.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,7,Internet Access,Realm,Internet,Blue,,0,0,0,Provides 1 Internet resource.,The outside path was enough to begin.,Internet resources represent public-facing access and reach.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,5,Network Access,Realm,Network,Black,,0,0,0,Provides 1 Network resource.,A route became a foothold.,Network resources represent internal positioning and service reachability.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,5,Application Access,Realm,Application,White/Grey,,0,0,0,Provides 1 Application resource.,The login page became a target.,Application resources represent web API and account attack paths.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,4,Endpoint Access,Realm,Endpoint,Red,,0,0,0,Provides 1 Endpoint resource.,The workstation became the weak point.,Endpoint resources represent user devices and workstation access.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,6,Infrastructure Access,Realm,Infrastructure,Green,,0,0,0,Provides 1 Infrastructure resource.,The process network entered the story.,Infrastructure resources represent OT and utility operation paths.,Common,Draft
