deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Medium Org Defense,Blue Team,Medium Org,1,Email Server,Asset,Infrastructure,Green,,2,1,3,The first Delivery phase Attack each game deals 1 less damage.,Coordination needed a channel.,Email availability matters during response.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Backup,Defense,Infrastructure,Green,Respond,2,0,2,Restore 2 Defense to one damaged Infrastructure Asset.,Recovery starts before the incident.,Backups must be tested and protected.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Redundant Backup,Defense,Cloud,Yellow,Respond,2,0,2,Restore 2 Defense to one damaged Asset. If Backup is in play restore 1 additional Defense.,The second copy saved the day.,Redundant backups improve resilience.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,MFA,Defense,Infrastructure,Green,Respond,1,0,2,Reduce Credential Attack or account-access damage by 2.,One more proof before access.,MFA reduces account takeover risk.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Water Quality Monitor,Defense,Infrastructure,Green,Detect,2,0,2,If a water utility Asset is damaged draw 1 card and restore 1 Defense to it.,The numbers warned first.,Monitoring helps detect unsafe process changes.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Port Scanner,Tool,Infrastructure,Green,Detect,1,1,1,Look at the top 3 Red Team cards. You may discard one Recon card.,Defenders scanned their own doors.,Service awareness reduces exposure.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Vuln Scanner,Tool,Network,Black,Detect,2,1,1,Reveal a Red Team Attack card in hand. That card costs 1 more next turn.,Weaknesses were found before the attacker.,Scanning helps prioritize remediation.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,IDS,Tool,Infrastructure,Green,Detect,2,1,1,When Red Team plays an Internet or Network Attack reduce damage by 1.,The network learned to listen.,Detection improves response but still needs analysis.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,IoT Scanner,Tool,Infrastructure,Green,Detect,2,1,1,Reveal one hidden Red Team card affecting Infrastructure.,Inventory made the unknown visible.,IoT inventory helps defenders understand connected devices.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Modbus,Protocol,Infrastructure,Green,Reinforce,1,0,1,Attach to RTU/PLC or Pump Station. Attached Asset gains plus 1 Defense.,The old protocol still mattered.,Legacy protocols require segmentation and monitoring.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Port 443,Protocol,Network,Black,Reinforce,1,0,1,Attach to SCADA Web Interface or Email Server. Internet attacks cost 1 additional resource.,A common port required careful control.,Common services need visibility and monitoring.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,HTTPS,Protocol,Internet,Blue,Reinforce,1,0,1,Attach to SCADA Web Interface. Reduce Internet attack damage by 1.,Encryption carried trust.,TLS protects web access when configured correctly.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,DNP3,Protocol,Infrastructure,Green,Reinforce,1,0,1,Attach to RTU/PLC. Once per turn restore 1 Defense to an Infrastructure Asset.,The control language stayed precise.,Industrial protocols directly affect operations.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,IT Admin,Operator,Network,Black,Respond,2,1,3,Restore 1 Defense to a Network or Endpoint Asset each turn.,Someone knew the cables.,IT staff protect accounts and connectivity.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,OT Engineer,Operator,Infrastructure,Green,Respond,2,1,3,Restore 1 Defense to an Infrastructure Asset each turn.,The process expert knew the plant.,OT expertise is critical for safe recovery.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,SOC Analyst,Operator,Infrastructure,Green,Respond,2,1,3,When a Red Team Attack is played draw 1 card then discard 1 card.,Signals became decisions.,SOC analysts turn alerts into action.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Field Tech,Operator,Infrastructure,Green,Respond,2,1,3,Restore 2 Defense to one damaged water Asset.,Boots on the ground fixed what screens could not.,Field teams support physical recovery.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,8,Operations Budget,Realm,Infrastructure,Green,,0,0,0,Provides 1 Infrastructure resource.,Operations keeps the lights on.,Operational funding supports day-to-day resilience.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,3,Capital Funding,Realm,Infrastructure,Green,,0,0,0,Provides 2 Infrastructure resources for Assets or Defense. Discard after use.,Big upgrades need big funding.,Capital funding supports major improvements.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,3,Emergency Funding,Realm,Infrastructure,Green,,0,0,0,Provides 1 Infrastructure resource and restores 1 Defense to a damaged Asset.,Emergency money buys time.,Emergency funds help response during incidents.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,2,Federal Assistance,Realm,Infrastructure,Green,,0,0,0,Provides 2 Infrastructure resources. If a critical Asset is damaged draw 1 card.,Help arrived from outside.,External assistance improves recovery.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Password Reset,Defense,Endpoint,Red,Respond,1,0,2,Cancel one Credential Attack or restore 2 Defense to an Endpoint Asset.,The password changed before the attacker returned.,Credential recovery limits compromise.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Antivirus,Tool,Endpoint,Red,Respond/Recover,1,1,1,Remove one Malware or Remote Access effect from an Endpoint Asset.,Basic protection still mattered.,Endpoint protection reduces common malware risk.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Port Closure,Defense,Network,Black,Respond,2,0,2,Cancel one Recon card or reduce one Network Attack by 2 damage.,Closed services tell fewer stories.,Reducing exposed services limits attacker options.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Packet Analysis,Defense,Network,Black,Detect,2,0,2,Look at the top 3 Red Team cards. You may discard one Network card.,Packets told the story.,Traffic analysis supports incident investigation.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Network Monitoring,Defense,Network,Black,Detect,2,0,2,Reduce the next Network Attack by 1. Draw 1 card.,The network watched itself.,Monitoring improves detection and response.,Common,Draft
Medium Org Defense,Blue Team,Medium Org,1,Packet Capture,Tool,Network,Black,Detect,1,1,1,Attach to Network Monitoring or SOC Analyst. Reveal the next Red Team card when attacked.,The packet became proof.,Captures provide evidence for investigation.,Common,Draft
