deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Small Org Defense,Blue Team,Small Org,1,Field Technician,Operator,Infrastructure,Green,Recover,1,,2,"Restore 1 Defense to one Infrastructure Asset each turn.","Boots on the ground keep water moving.","Field staff are essential to physical validation and manual recovery during cyber incidents.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Infrastructure Engineer,Operator,Infrastructure,Green,Recover/Reinforce,3,,4,"When you play a Protocol card, restore 1 Defense to one Infrastructure Asset.","Design matters most when things break.","Engineering knowledge helps defenders understand dependencies and safe restoration steps.",Rare,Draft
Small Org Defense,Blue Team,Small Org,6,Operations Budget,Realm,Infrastructure,Green,Reinforce,0,,,"Provides 1 Infrastructure resource.","Keeping the lights on is a strategy.","Operations funding supports routine maintenance and daily resilience.",Common,Draft
Small Org Defense,Blue Team,Small Org,1,Capital Funding,Realm,Infrastructure,Green,Reinforce,0,,,"Provides 1 Infrastructure resource. If used for an Asset, that Asset enters with +1 Defense.","Big upgrades start with rare funding.","Capital funding helps replace or improve critical systems.",Uncommon,Draft
Small Org Defense,Blue Team,Small Org,1,Federal Assistance,Realm,Infrastructure,Green,Recover/Reinforce,0,,,"Provides 2 Infrastructure resources for a Defense, Tool, or Recovery card. Discard after use.","Help arrives when preparation meets need.","External funding and assistance can improve recovery and resilience for small utilities.",Rare,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Network Scan,Attack,Network,Black,Recon,1,1,,"Reveal up to 2 Blue Team Assets. If Gateway or SCADA Web Interface is revealed, draw 1 card.","The scan came before the splash.","Port scanning helps attackers identify exposed services and reachable systems before exploitation.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Public Info Gathering,Attack,Internet,Blue,Recon,1,1,,"Look at Blue Team's hand. Choose one Asset card from it; Blue Team reveals that card until it is played or discarded.","Public clues become private pressure.","Public information can help attackers understand technology, vendors, staff, and exposed systems.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Downloaded Exploit,Attack,Endpoint,Red,Weaponize/Exploit,2,3,,"Deal 3 damage to one Asset. If Network Scan or Public Info Gathering was played this turn, deal +1 damage.","Copied code still breaks real things.","Low-skill attackers can cause real impact when public exploit code matches exposed systems.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Pre Built Malware Package,Attack,Endpoint,Red,Weaponize/Install,2,2,,"Attach to an Endpoint Asset. At the start of Red Team's turn, that Asset takes 1 damage. Antivirus removes this card.","The package was cheap. The outage was not.","Commodity malware can create recurring impact when endpoint containment is delayed.",Uncommon,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Phishing Campaign,Attack,Internet,Blue,Delivery,2,2,,"Disable one Operator until Blue Team's next turn unless Blue Team discards 1 card.","The first click was human.","Phishing often targets staff access and can delay operational response.",Uncommon,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Malicious Link,Attack,Internet,Blue,Delivery,1,2,,"Deal 2 damage to Operator Laptop or SCADA Web Interface. If Phishing Campaign was played this game, draw 1 card.","One link moved the incident forward.","Malicious links are common delivery methods for credential theft and malware.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Malicious Attachment,Attack,Endpoint,Red,Delivery/Install,1,2,,"Deal 2 damage to Operator Laptop. If it is damaged, you may play Pre Built Malware Package for 1 less this turn.","The file looked routine until it ran.","Attachments can deliver payloads that affect user workstations and operational access.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Vulnerability Exploit,Attack,Application,White/Grey,Exploit,2,3,,"Deal 3 damage to SCADA Web Interface, Gateway, or RTU or PLC. Port Closure reduces this damage by 2.","The weakness was known before the attack.","Known vulnerabilities become dangerous when systems remain exposed or unpatched.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Credential Attack,Attack,Application,White/Grey,Exploit,2,3,,"Deal 3 damage. MFA cancels this card's damage bonus and reduces damage by 1.","The account became the entry point.","Credential abuse is a common path into remote and operational systems.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Password Spray,Attack,Application,White/Grey,Exploit,2,2,,"Deal 2 damage. If MFA is not active, disable one Operator until Blue Team's next turn.","One weak password can slow a whole team.","Password spraying abuses weak or reused credentials across accounts.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Remote Access Tool,Tool,Endpoint,Red,Install/C2,3,2,,"Attach to Operator Laptop or SCADA Web Interface after it is damaged. Red Team's next Attack against that Asset costs 1 less.","Remote access turned damage into control.","Remote access malware or tooling can help attackers maintain access after initial compromise.",Rare,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Command Communication,Asset,Internet,Blue,Command and Control,2,,3,"While active, Red Team may draw 1 card after playing an Install card. Destroy this Asset if Blue Team plays Deep Packet ICS Monitor.","The compromised system called home.","Command channels help attackers manage compromised systems and continue operations.",Uncommon,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Command Channel,Asset,Network,Black,Command and Control,2,,3,"Once per turn, reduce the cost of an Attack by 1 if Red Team has damaged an Asset this game.","Control turns access into pressure.","Command channels represent attacker coordination after initial access.",Rare,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,Backup Command Channel,Asset,Internet,Blue,Command and Control,1,,2,"If Command Communication or Command Channel would be destroyed, destroy this card instead.","One channel failed. Another answered.","Redundant attacker communication paths make containment harder.",Uncommon,Draft
Script Kiddie Attack,Red Team,Script Kiddie,1,System Outage,Event,Infrastructure,Green,Actions on Objectives,4,4,,"Play only if two or more Blue Team Assets are damaged. Blue Team loses 3 SCP. If Water Tower is damaged, Blue Team loses 1 additional SCP.","The cyber event became an operations call.","The most important lesson is how cyber actions create operational consequences.",Legendary,Draft
Script Kiddie Attack,Red Team,Script Kiddie,4,Operations Budget,Realm,Infrastructure,Green,Weaponize,0,,,"Provides 1 resource for Red Team cards.","Even attackers spend resources.","Resources pace the game and prevent every attack from happening at once.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,Network Position,Realm,Network,Black,Command and Control,0,,,"Provides 1 Network resource. If used for Command Channel or Remote Access Tool, that card enters with +1 Defense.","Access is easier to keep after a foothold.","Network position represents attacker reach inside or near target systems.",Uncommon,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,External Access,Realm,Internet,Blue,Delivery,0,,,"Provides 1 Internet resource. If used for Recon or Delivery, draw 1 card then discard 1 card.","The outside path was enough to begin.","External access gives attackers a starting point for reconnaissance and delivery.",Common,Draft
Script Kiddie Attack,Red Team,Script Kiddie,2,App Access,Realm,Application,White/Grey,Exploit,0,,,"Provides 1 Application resource. If used for Credential Attack or Vulnerability Exploit, that Attack deals +1 damage once per game.","The portal became a pressure point.","Application access can turn weak authentication or exposed interfaces into impact.",Uncommon,Draft
